,№,General standard #,Freq.,Radical,Encounters,Fraction of   the language,HSK 2.0,HSK 3.0,Stroke count,Character,,,,Meaning
,3785,3785,3326,心 61.4,1273,"0,000658%",,,7,忡,chōng,chong,first,"a sad, uneasy countenance"
,3786,3786,5039,心 61.4,176,"0,000091%",,,7,忤,wǔ,wu,third,"insubordinate, stubborn; wrong"
,3787,3787,5024,心 61.4,179,"0,000093%",,,7,忾,kài,kai,fourth,"anger, wrath, hatred, enmity"
,3788,3788,3409,心 61.4,1132,"0,000585%",,,7,怅,chàng,chang,fourth,"disappointed, dissatisfied"
,3789,3789,4346,心 61.4,395,"0,000204%",,,7,忻,xīn,xin,first,"delightful, joyful, pleasant"
,3790,3790,5274,心 61.4,140,"0,000072%",,,7,忪,sōng,song,first,"quiet, calm, tranquil, peaceful"
,3791,3791,4096,心 61.4,525,"0,000271%",,,7,怆,chuàng,chuang,fourth,"sad, broken-hearted, disconsolate"
,3792,3792,6891,心 61.4,14,"0,000007%",,,7,忭,biàn,bian,fourth,delighted; pleased
,3793,3793,4813,心 61.4,219,"0,000113%",,,7,忸,niǔ,niu,third,"blush, be bashful, be ashamed"
,3794,3794,5077,言 149.5,171,"0,000088%",,,7,诂,gǔ,gu,third,"exegesis, explanation; explain"
,3795,3795,3687,言 149.5,814,"0,000421%",,,7,诃,hē,he,first,"scold loudly, curse, abuse"
,3796,3796,3171,言 149.5,1535,"0,000793%",,,7,诅,zǔ,zu,third,"curse; swear, pledge"
,3797,3797,4464,言 149.5,339,"0,000175%",,,7,诋,dǐ,di,third,"slander, comdemn, reproach"
,3798,3798,4780,言 149.5,227,"0,000117%",,,7,诌,zhōu,zhou,first,"play with words, quip; talk nonse"
,3799,3799,2684,言 149.5,2907,"0,001503%",,,7,诏,zhào,zhao,fourth,"decree, proclaim; imperial decree"
,3800,3800,4352,言 149.5,392,"0,000203%",,,7,诒,yí,yi,second,"bequeath, pass on to future generations"
,3801,3801,3150,子 39.4,1573,"0,000813%",,,7,孜,zī,zi,first,be as diligent as possible
,3802,3802,3353,阜 170.5,1225,"0,000633%",,,7,陇,lǒng,long,third,mountain located between Shanxi
,3803,3803,2143,阜 170.5,5863,"0,003031%",,,7,陀,tuó,tuo,second,"steep bank, rough terrain"
,3804,3804,4796,阜 170.5,224,"0,000116%",,,7,陂,bēi,bei,first,"dam, embankment; reservoir"
,3805,3805,5710,阜 170.5,90,"0,000047%",,,7,陉,xíng,xing,second,"defile, mountain pass, gorge"
,3806,3806,4708,女 38.6,249,"0,000129%",,,7,妍,yán,yan,second,"beautiful, handsome; seductive"
,3807,3807,4073,女 38.4,538,"0,000278%",,,7,妩,wǔ,wu,third,"charming, enchanting"
,3808,3808,4872,女 38.4,208,"0,000108%",,,7,妪,yù,yu,fourth,"old woman, hag"
,3809,3809,6159,女 38.4,50,"0,000026%",,,7,妣,bǐ,bi,third,deceased mother
,3810,3810,3523,女 38.4,1001,"0,000517%",,,7,妊,rèn,ren,fourth,"conceive, be pregnant"
,3811,3811,5150,女 38.4,158,"0,000082%",,,7,妗,jìn,jin,fourth,wife of mother's brother
,3812,3812,4474,女 38.4,337,"0,000174%",,,7,妫,guī,gui,first,family name
,3813,3813,3200,女 38.4,1487,"0,000769%",,,7,妞,niū,niu,first,girl
,3814,3814,5214,女 38.5,149,"0,000077%",,,7,姒,sì,si,fourth,wife of elder brother
,3815,3815,6893,女 38.4,14,"0,000007%",,,7,妤,yú,yu,second,"beautiful, fair, handsome"
,3816,3816,2814,邑 163.5,2445,"0,001264%",,,7,邵,shào,shao,fourth,surname; various place names
,3817,3817,5012,力 19.5,181,"0,000094%",,,7,劭,shào,shao,fourth,encourage; to excel; excellent
,3818,3818,7433,刀 18.5,6,"0,000003%",,,7,刭,jǐng,jing,third,cut throat
,3819,3819,4038,用 101.2,558,"0,000288%",,,7,甬,yǒng,yong,third,path; river in Ningbo; Ningbo
,3820,3820,5824,邑 163.5,78,"0,000040%",,,7,邰,tái,tai,second,surname; state in modern Shanxi
,3821,3821,4262,糸 120.4,431,"0,000223%",,,7,纭,yún,yun,second,"confused, in disorder; numerous"
,3822,3822,5277,糸 120.4,140,"0,000072%",,,7,纰,pī,pi,first,spoiled silk; hem of dress; mista
,3823,3823,8406,糸 120.4,2,"0,000001%",,,7,纴,rèn,ren,fourth,"weave, lay warp"
,3824,3824,3560,糸 120.4,965,"0,000499%",,,7,纶,lún,lun,second,green silk thread or tassel
,3825,3825,4392,糸 120.4,370,"0,000191%",,,7,纾,shū,shu,first,"loosen, relax, relieve; extricate"
,3826,3826,5058,玉 96.4,174,"0,000090%",,,8,玮,wěi,wei,third,"type of jade; rare, valuable"
,3827,3827,—,玉 96.4,,,,,8,玡,yá,ya,second,used in place names
,3828,3828,—,玉 96.4,,,,,8,玭,pín,pin,second,pearl
,3829,3829,—,玉 96.4,,,,,8,玠,jiè,jie,fourth,large jade tablet used by officials at court to indicate their ranks
,3830,3830,5844,玉 96.4,75,"0,000039%",,,8,玢,bīn,bin,first,(archaic) a kind of jade
,3831,3831,—,玉 96.4,,,,,8,玥,yuè,yue,fourth,mysterious gem; pearl
,3832,3832,—,玉 96.4,,,,,8,玦,jué,jue,second,broken piece of jade
,3833,3833,4100,皿 108.3,522,"0,000270%",,,8,盂,yú,yu,second,basin; cup
,3834,3834,4729,心 61.4,243,"0,000126%",,,8,忝,tiǎn,tian,third,disgraced; ashamed; self-deprecating
,3835,3835,4956,匚 22.6,190,"0,000098%",,,8,匦,guǐ,gui,third,"small box; chest, casket"
,3836,3836,6305,土 32.5,39,"0,000020%",,,8,坩,gān,gan,first,"earthenware, earthenware vessel"
,3837,3837,3397,手 64.5,1146,"0,000592%",,7–9,8,抨,pēng,peng,first,"impeach, censure; attack"
,3838,3838,—,手 64.5,,,,,8,拤,qiá,qia,second,
,3839,3839,7160,土 32.5,9,"0,000005%",,,8,坫,diàn,dian,fourth,a stand on which to replace goblets after drinking
,3840,3840,3616,手 64.5,898,"0,000464%",,,8,拈,niān,nian,first,pick up with fingers; draw lots
,3841,3841,6454,土 32.5,31,"0,000016%",,,8,垆,lú,lu,second,"black clods of earth; shop, hut"
,3842,3842,5131,手 64.5,161,"0,000083%",,,8,抻,chēn,chen,first,pull
,3843,3843,—,力 19.6,,,,,8,劼,jié,jie,second,"be discreet, prudent, cautious"
,3844,3844,—,手 64.5,,,,,8,拃,zhǎ,zha,third,"grope, press, span"
,3845,3845,5779,手 64.5,82,"0,000042%",,,8,拊,fǔ,fu,third,slap; pat; tap; handle of a vessel
,3846,3846,6355,土 32.5,36,"0,000019%",,,8,坼,chè,che,fourth,"split, tear, open"
,3847,3847,6455,土 32.5,31,"0,000016%",,,8,坻,chí,chi,second,"an islet, a rock in a river; an embankment; to stop"
,3848,3848,7963,手 64.5,3,"0,000002%",,,8,㧟,kuǎi,kuai,third,"(simplified form of擓) to wipe; to scrub; to rub, to dust; to clean, (a dialect) to scratch with fingers lightly, (a dialect) to carry on the arm"
,3849,3849,5617,土 32.5,100,"0,000052%",,,8,坨,tuó,tuo,second,"a lump, heap"
,3850,3850,6808,土 32.5,16,"0,000008%",,,8,坭,ní,ni,second,"mud, mire; to paste, to plaster"
,3851,3851,3729,手 64.5,771,"0,000399%",,,8,抿,mǐn,min,third,pucker up lips in smile; press
,3852,3852,4450,土 32.5,346,"0,000179%",,,8,坳,ào,ao,fourth,"a hollow in the ground, a cavity, depression; undulating, depressed"
,3853,3853,1174,耳 128.3,23175,"0,011979%",,,8,耶,yé,ye,second,used in transliteration
,3854,3854,4476,艸 140.5,336,"0,000174%",,,8,苷,gān,gan,first,licorice
,3855,3855,3686,艸 140.5,816,"0,000422%",,,8,苯,běn,ben,third,benzene; luxuriant
,3856,3856,5404,艸 140.5,124,"0,000064%",,,8,苤,piě,pie,third,kohl rabi
,3857,3857,4743,艸 140.5,239,"0,000124%",,,8,茏,lóng,long,second,tall grass; water-weeds
,3858,3858,4623,艸 140.5,277,"0,000143%",,,8,苫,shān,shan,first,rush or straw matting
,3859,3859,5032,艸 140.5,177,"0,000091%",,,8,苜,mù,mu,fourth,clover
,3860,3860,5491,艸 140.5,115,"0,000059%",,,8,苴,jū,ju,first,sackcloth; female hemp plant
,3861,3861,6094,艸 140.5,55,"0,000028%",,,8,苒,rǎn,ran,third,"lush; successively, in order"
,3862,3862,7985,艸 140.5,3,"0,000002%",,,8,苘,qǐng,qing,third,Indian mallow
,3863,3863,6995,艸 140.5,12,"0,000006%",,,8,茌,chí,chi,second,name of a district in Shandong
,3864,3864,4512,艸 140.5,320,"0,000165%",,,8,苻,fú,fu,second,kind of herb; type of grass
,3865,3865,4194,艸 140.5,467,"0,000241%",,,8,苓,líng,ling,second,"fungus, tuber; licorice"
,3866,3866,7764,艸 140.6,4,"0,000002%",,,8,茚,yìn,yin,fourth,an organic compound
,3867,3867,6629,艸 140.5,23,"0,000012%",,,8,茆,máo,mao,second,"species of grass, water mallows"
,3868,3868,4983,艸 140.6,185,"0,000096%",,,8,茑,niǎo,niao,third,the convovulvus; parasitic plants such as mistletoe; Ribes ambiguum
,3869,3869,—,艸 140.5,,,,,8,茓,xué,xue,second,
,3870,3870,5697,艸 140.5,93,"0,000048%",,,8,茔,yíng,ying,second,"grave, tomb, cemetery"
,3871,3871,6194,艸 140.5,47,"0,000024%",,,8,茕,qióng,qiong,second,alone; without friends or relativ
,3872,3872,6476,艸 140.5,30,"0,000016%",,,8,茀,fú,fu,second,"overgrown with grass, weedy"
,3873,3873,5319,艸 140.5,135,"0,000070%",,,8,苕,sháo,shao,second,rush plant
,3874,3874,5293,木 75.4,138,"0,000071%",,,8,枥,lì,li,fourth,type of oak; stable
,3875,3875,5358,木 75.4,130,"0,000067%",,,8,枇,pí,pi,second,loquat
,3876,3876,6035,木 75.4,60,"0,000031%",,,8,杪,miǎo,miao,third,"tip of twig, top of tree; twig"
,3877,3877,4293,木 75.4,420,"0,000217%",,,8,杳,yǎo,yao,third,"obscure, dark, mysterious, deep"
,3878,3878,7085,木 75.4,10,"0,000005%",,,8,枧,jiǎn,jian,third,"bamboo tube, wooden peg; spout"
,3879,3879,4776,木 75.4,229,"0,000118%",,,8,杵,chǔ,chu,third,pestle; baton used beat clothes
,3880,3880,6327,木 75.4,38,"0,000020%",,,8,枨,chéng,cheng,second,"door stop, door jam; touch; (Cant.) to use the body to move someone"
,3881,3881,4497,木 75.4,326,"0,000169%",,,8,枞,cōng,cong,first,fir tree
,3882,3882,5260,木 75.4,143,"0,000074%",,,8,枋,fāng,fang,first,sandalwood; tree used as timber
,3883,3883,—,木 75.4,,,,,8,杻,chǒu,chou,third,"ligustrum sinenese, tree"
,3884,3884,5215,木 75.4,149,"0,000077%",,,8,杷,pá,pa,second,loquat
,3885,3885,5015,木 75.4,181,"0,000094%",,,8,杼,zhù,zhu,fourth,shuttle of loom; narrow; long-headed; a scrub oak; thin
,3886,3886,4999,石 112.3,183,"0,000095%",,,8,矸,gān,gan,first,a rock or cliff
,3887,3887,5826,石 112.4,77,"0,000040%",,,8,砀,dàng,dang,fourth,brilliantly colored stone with veined patterns in it
,3888,3888,6607,刀 18.6,24,"0,000012%",,,8,刳,kū,ku,first,"cut out, dig, rip up, scoop out"
,3889,3889,3462,大 37.5,1073,"0,000555%",,,8,奄,yǎn,yan,third,"ere long; remain, tarry; feeble"
,3890,3890,5180,瓦 98.4,154,"0,000080%",,,8,瓯,ōu,ou,first,"bowl, cup; small tray"
,3891,3891,4457,歹 78.4,343,"0,000177%",,,8,殁,mò,mo,fourth,die; death; dead
,3892,3892,4554,邑 163.6,305,"0,000158%",,,8,郏,jiá,jia,second,county in Henan province; surname
,3893,3893,4880,車 159.4,206,"0,000106%",,,8,轭,è,e,fourth,"yoke, collar"
,3894,3894,4264,邑 163.6,429,"0,000222%",,,8,郅,zhì,zhi,fourth,to go up to. flourishing a superlative
,3895,3895,4922,鳥 196.3,197,"0,000102%",,,8,鸢,yuān,yuan,first,kite; Milvus species (various)
,3896,3896,5897,目 109.3,71,"0,000037%",,,8,盱,xū,xu,first,wide open eyes; to gaze in astonishment
,3897,3897,3956,日 72.4,601,"0,000311%",,,8,昊,hào,hao,fourth,summer time; sky; heaven
,3898,3898,4272,日 72.4,426,"0,000220%",,,8,昙,tán,tan,second,"become cloudy, overcast"
,3899,3899,4837,木 75.4,215,"0,000111%",,,8,杲,gǎo,gao,third,bright sun; brilliant; high
,3900,3900,6273,日 72.4,41,"0,000021%",,,8,昃,zè,ze,fourth,afternoon; the sun in the afternoon sky; to decline
,3901,3901,4167,口 30.5,476,"0,000246%",,,8,咂,zā,za,first,"to suck, to smack the lips; (Cant.) to cheat"
,3902,3902,3868,口 30.5,653,"0,000338%",,,8,呸,pēi,pei,first,expression of reprimand
,3903,3903,4750,日 72.4,237,"0,000123%",,,8,昕,xīn,xin,first,dawn; early morning; day
,3904,3904,5412,日 72.4,123,"0,000064%",,,8,昀,yún,yun,second,sun light; used in personal names
,3905,3905,—,日 72.4,,,,,8,旻,mín,min,second,heaven
,3906,3906,—,日 72.4,,,,,8,昉,fǎng,fang,third,"bright dawn, daybreak; appear"
,3907,3907,5817,火 86.4,78,"0,000040%",,,8,炅,jiǒng,jiong,third,brilliance
,3908,3908,3754,口 30.5,751,"0,000388%",,,8,咔,kā,ka,first,used in translation
,3909,3909,5859,田 102.3,74,"0,000038%",,,8,畀,bì,bi,fourth,to give
,3910,3910,5822,虫 142.2,78,"0,000040%",,,8,虮,jǐ,ji,third,"louse eggs, nits"
,3911,3911,3498,口 30.5,1037,"0,000536%",6,,8,咀,jǔ,ju,third,"suck; chew, masticate"
,3912,3912,4071,口 30.5,539,"0,000279%",,,8,呷,gā,ga,first,"suck, swallow, drink"
,3913,3913,5223,黽 205.0,148,"0,000077%",,,8,黾,miǎn,mian,third,to strive; to endeavor
,3914,3914,3476,口 30.5,1063,"0,000549%",,,8,呱,gū,gu,first,"wail, crying of child; swear at"
,3915,3915,4807,口 30.5,221,"0,000114%",,,8,呤,lìng,ling,fourth,purine
,3916,3916,2950,口 30.5,2019,"0,001044%",,,8,咚,dōng,dong,first,"onomatopoetic, a thumping sound"
,3917,3917,3369,口 30.5,1191,"0,000616%",,,8,咆,páo,pao,second,roar
,3918,3918,4256,口 30.5,432,"0,000223%",,,8,咛,níng,ning,second,"enjoin, instruct; charge"
,3919,3919,4718,口 30.5,245,"0,000127%",,,8,呶,náo,nao,second,talkative; clamour; hubbub
,3920,3920,—,口 30.5,,,,,8,呣,ḿ,m,first,interjection expressing consent; um
,3921,3921,5390,口 30.5,126,"0,000065%",,,8,呦,yōu,you,first,the bleating of the deer
,3922,3922,4367,口 30.5,383,"0,000198%",,,8,咝,sī,si,first,hiss; call to come; syllable
,3923,3923,5078,山 46.5,170,"0,000088%",,,8,岢,kě,ke,third,used in 岢岚
,3924,3924,5768,山 46.5,83,"0,000043%",,,8,岿,kuī,kui,first,"grand, stately; secure, lasting"
,3925,3925,4077,山 46.5,535,"0,000277%",,,8,岬,jiǎ,jia,third,"cape; promontory, headland"
,3926,3926,4745,山 46.5,239,"0,000124%",,,8,岫,xiù,xiu,fourth,"mountain peak; cave, cavern"
,3927,3927,5374,巾 50.5,128,"0,000066%",,,8,帙,zhì,zhi,fourth,book cover; satchel or bag
,3928,3928,5933,山 46.5,68,"0,000035%",,,8,岣,gǒu,gou,third,a hill in Hunan
,3929,3929,4812,山 46.5,219,"0,000113%",,,8,峁,mǎo,mao,third,yellow dirt mount
,3930,3930,6008,刀 18.6,62,"0,000032%",,,8,刿,guì,gui,fourth,"to cut, injure, stab, stick on"
,3931,3931,3638,辵 162.5,866,"0,000448%",,,8,迥,jiǒng,jiong,third,"distant, far; separated; different"
,3932,3932,4693,山 46.5,253,"0,000131%",,,8,岷,mín,min,second,"min mountain, min river"
,3933,3933,6294,刀 18.6,40,"0,000021%",,,8,剀,kǎi,kai,third,"sharpen; carefully, thorough"
,3934,3934,5722,巾 50.5,88,"0,000045%",,,8,帔,pèi,pei,fourth,"a skirt; long robe for women, having no sleeves and fasten down the front"
,3935,3935,5405,山 46.5,124,"0,000064%",,,8,峄,yì,yi,fourth,a range of peaks in Shandong and Jiangsu; the name of a mountain
,3936,3936,3806,水 85.4,699,"0,000361%",,,8,沓,dá,da,second,"connected, joined; repeated"
,3937,3937,5392,囗 31.5,126,"0,000065%",,,8,囹,líng,ling,second,"prison, enclosure"
,3938,3938,4200,网 122.3,461,"0,000238%",,,8,罔,wǎng,wang,third,net; deceive; libel; negative
,3939,3939,4649,金 167.3,269,"0,000139%",,,8,钍,tǔ,tu,third,thorium
,3940,3940,5894,金 167.3,71,"0,000037%",,,8,钎,qiān,qian,first,tool for boring holes
,3941,3941,5164,金 167.3,156,"0,000081%",,,8,钏,chuàn,chuan,fourth,"bracelet, armlet"
,3942,3942,5140,金 167.3,159,"0,000082%",,,8,钒,fán,fan,second,vanadium
,3943,3943,5604,金 167.3,102,"0,000053%",,,8,钕,nǚ,nü,third,neodymium
,3944,3944,3631,金 167.3,878,"0,000454%",,,8,钗,chāi,chai,first,ornamental hairpin
,3945,3945,6848,邑 163.6,15,"0,000008%",,,8,邾,zhū,zhu,first,a feudal state which existed B.C.700-469; now in Shandong
,3946,3946,6576,辵 162.5,25,"0,000013%",,,8,迮,zé,ze,second,to rise; contracted; cramped
,3947,3947,5337,牛 93.4,133,"0,000069%",,,8,牦,máo,mao,second,tail; hair; yak
,3948,3948,3439,竹 118.2,1095,"0,000566%",,,8,竺,zhú,zhu,second,India; bamboo; surname
,3949,3949,4732,辵 162.5,242,"0,000125%",,,8,迤,yí,yi,second,wind; walk out of straight path
,3950,3950,5486,人 9.6,115,"0,000059%",,,8,佶,jí,ji,second,"strong, robust; exact, correct"
,3951,3951,3323,人 9.6,1283,"0,000663%",,,8,佬,lǎo,lao,third,"(Cant.) man, person; mature"
,3952,3952,5437,人 9.6,121,"0,000063%",,,8,佰,bǎi,bai,third,hundred
,3953,3953,6320,人 9.6,38,"0,000020%",,,8,侑,yòu,you,fourth,"help, assist, repay kindness"
,3954,3954,6199,人 9.6,46,"0,000024%",,,8,侉,kuǎ,kua,third,to speak with an accent; big and clumsy
,3955,3955,4584,臼 134.2,294,"0,000152%",,,8,臾,yú,yu,second,"moment, instant, short while"
,3956,3956,4088,山 46.5,530,"0,000274%",,,8,岱,dài,dai,fourth,"Daishan, one of the Five Sacred Mountains in China"
,3957,3957,4406,人 9.6,362,"0,000187%",,,8,侗,dòng,dong,fourth,"big; ignorant; rude, rustic"
,3958,3958,3315,人 9.6,1295,"0,000669%",6,7–9,8,侃,kǎn,kan,third,upright and strong; amiable
,3959,3959,3674,人 9.6,836,"0,000432%",,,8,侏,zhū,zhu,first,"small, little, tiny, dwarf"
,3960,3960,5225,人 9.6,147,"0,000076%",,,8,侩,kuài,kuai,fourth,"go-between, broker, proxy"
,3961,3961,5161,人 9.6,156,"0,000081%",,,8,佻,tiāo,tiao,first,frivolous; unsteady; delay
,3962,3962,6518,人 9.6,28,"0,000014%",,,8,佾,yì,yi,fourth,a row or file of dancers
,3963,3963,5429,人 9.6,122,"0,000063%",,,8,侪,chái,chai,second,"a company, companion; together"
,3964,3964,3993,人 9.6,581,"0,000300%",,,8,佼,jiǎo,jiao,third,"beautiful, handsome, good-looking"
,3965,3965,3393,人 9.6,1154,"0,000597%",,,8,佯,yáng,yang,second,"pretend, feign; false, deceitful"
,3966,3966,3236,人 9.6,1412,"0,000730%",,,8,侬,nóng,nong,second,I; you; family name
,3967,3967,3682,巾 50.5,822,"0,000425%",,,8,帛,bó,bo,second,"silks, fabrics; wealth, property"
,3968,3968,3445,阜 170.0,1089,"0,000563%",,,8,阜,fù,fu,fourth,"mound; abundant, ample, numerous"
,3969,3969,5769,人 9.6,83,"0,000043%",,,8,侔,móu,mou,second,equal
,3970,3970,6500,彳 60.5,29,"0,000015%",,,8,徂,cú,cu,second,"go, advance; to; die"
,3971,3971,3959,刀 18.6,599,"0,000310%",,,8,刽,guì,gui,fourth,"amputate, cut off"
,3972,3972,6803,邑 163.6,16,"0,000008%",,,8,郄,qiè,qie,fourth,surname
,3973,3973,3702,心 61.4,799,"0,000413%",,,8,怂,sǒng,song,third,"instigate, arouse, incite"
,3974,3974,5564,米 119.2,106,"0,000055%",,,8,籴,dí,di,second,purchase grains; store grain
,3975,3975,3873,瓦 98.4,648,"0,000335%",,,8,瓮,wèng,weng,fourth,earthen jar; jar for ashes
,3976,3976,5957,戈 62.4,67,"0,000035%",,,8,戗,qiāng,qiang,first,support
,3977,3977,5202,肉 130.4,151,"0,000078%",,,8,肼,jǐng,jing,third,hydrazine
,3978,3978,—,肉 130.4,,,,,8,䏝,zhuān,zhuan,first,
,3979,3979,4515,肉 130.4,319,"0,000165%",,,8,肽,tài,tai,fourth,a chemical compound
,3980,3980,4921,肉 130.4,197,"0,000102%",,,8,肱,gōng,gong,first,forearm
,3981,3981,5513,肉 130.4,112,"0,000058%",,,8,肫,zhūn,zhun,first,"the gizzard of a fowl; honest, sincere"
,3982,3982,4434,刀 18.6,352,"0,000182%",,,8,剁,duò,duo,fourth,"chop by pounding, mince, hash"
,3983,3983,4328,辵 162.5,401,"0,000207%",,,8,迩,ěr,er,third,"be near, be close; recently"
,3984,3984,7096,邑 163.6,10,"0,000005%",,,8,郇,huán,huan,second,an ancient feudal State in Shaanxi
,3985,3985,3621,犬 94.5,891,"0,000461%",,,8,狙,jū,ju,first,"an ape, monkey; to spy, watch for; to lie"
,3986,3986,5592,犬 94.5,103,"0,000053%",,,8,狎,xiá,xia,second,be familiar with; disrespect
,3987,3987,5804,犬 94.5,79,"0,000041%",,,8,狍,páo,pao,second,species of deer found in north China
,3988,3988,3281,犬 94.5,1349,"0,000697%",,,8,狒,fèi,fei,fourth,baboon
,3989,3989,3225,口 30.5,1431,"0,000740%",,,8,咎,jiù,jiu,fourth,"fault, defect; error, mistake"
,3990,3990,3672,火 86.4,837,"0,000433%",,,8,炙,zhì,zhi,fourth,"roast, broil; toast; cauterize"
,3991,3991,3885,木 75.4,638,"0,000330%",,,8,枭,xiāo,xiao,first,"owl thus, something evil"
,3992,3992,4658,食 184.5,265,"0,000137%",,,8,饯,jiàn,jian,fourth,"farewell party; see off, send off"
,3993,3993,5355,食 184.5,130,"0,000067%",,,8,饴,yí,yi,second,sweet-meats; sweet-cakes; syrup
,3994,3994,4356,冫 15.6,389,"0,000201%",,,8,冽,liè,lie,fourth,"cold and raw; pure, clear"
,3995,3995,5800,冫 15.6,80,"0,000041%",,,8,冼,xiǎn,xian,third,a surname
,3996,3996,4149,广 53.5,488,"0,000252%",,,8,庖,páo,pao,second,"kitchen; cooking, cuisine"
,3997,3997,5812,疒 104.3,79,"0,000041%",,,8,疠,lì,li,fourth,"a sore, ulcer; pestilence"
,3998,3998,5387,疒 104.3,127,"0,000066%",,,8,疝,shàn,shan,fourth,"hernia, rupture"
,3999,3999,3372,疒 104.4,1189,"0,000615%",,,8,疡,yáng,yang,second,"ulcers, sores; infection"
,4000,4000,4893,儿 10.6,203,"0,000105%",,,8,兖,yǎn,yan,third,establish; one of nine empire divisions
,4001,4001,3242,女 38.5,1408,"0,000728%",,,8,妾,qiè,qie,fourth,concubine
,4002,4002,3597,力 19.6,922,"0,000477%",,,8,劾,hé,he,second,"examine into, impeach, charge"
,4003,4003,4864,火 86.4,209,"0,000108%",,,8,炜,wěi,wei,third,brilliant red; glowing
,4004,4004,—,火 86.4,,,,,8,𬉼,ōu,ou,first,great drought
,4005,4005,3857,火 86.4,660,"0,000341%",,7–9,8,炖,dùn,dun,fourth,heat with fire; stew
,4006,4006,—,火 86.4,,,,,8,炘,xīn,xin,first,"brilliant, shining, bright"
,4007,4007,5423,火 86.4,122,"0,000063%",,,8,炝,qiàng,qiang,fourth,stir-fry or boil in water or oil then cook with a sauce
,4008,4008,4970,火 86.4,187,"0,000097%",,,8,炔,guì,gui,fourth,acetylene
,4009,4009,5880,水 85.5,72,"0,000037%",,,8,泔,gān,gan,first,"water from washing rice to boil thick, as gruel"
,4010,4010,6379,水 85.5,35,"0,000018%",,,8,沭,shù,shu,fourth,river in Shantung
,4011,4011,4977,水 85.5,187,"0,000097%",,,8,泷,lóng,long,second,raining; wet; soaked; a river in Guangdong
,4012,4012,4736,水 85.5,242,"0,000125%",,,8,泸,lú,lu,second,river in Jiangxi province
,4013,4013,4801,水 85.5,222,"0,000115%",,,8,泱,yāng,yang,first,"great, expansive; agitated"
,4014,4014,4604,水 85.5,286,"0,000148%",,,8,泅,qiú,qiu,second,"swim, float, wade"
,4015,4015,4388,水 85.5,373,"0,000193%",,,8,泗,sì,si,fourth,mucous; nasal flow; sniffle; river in Shandong
,4016,4016,5602,水 85.5,102,"0,000053%",,,8,泠,líng,ling,second,"nice and cool, mild and comfortable"
,4017,4017,6739,水 85.5,19,"0,000010%",,,8,泺,luò,luo,fourth,river in Shandong province
,4018,4018,7314,水 85.5,7,"0,000004%",,,8,泖,mǎo,mao,third,still waters; river in Jiangsu
,4019,4019,5843,水 85.5,75,"0,000039%",,,8,泫,xuàn,xuan,fourth,"weep; cry; shine, glisten"
,4020,4020,5962,水 85.5,67,"0,000035%",,,8,泮,pàn,pan,fourth,Zhou dynasty school; disperse; fall apart
,4021,4021,4382,水 85.5,375,"0,000194%",,,8,沱,tuó,tuo,second,"rivers, streams, waterways; flow"
,4022,4022,4320,水 85.5,406,"0,000210%",,,8,泯,mǐn,min,third,"destroy, eliminate; perish"
,4023,4023,4409,水 85.5,361,"0,000187%",,,8,泓,hóng,hong,second,"clear, deep pool of water"
,4024,4024,4459,水 85.5,342,"0,000177%",,,8,泾,jīng,jing,first,name of a river
,4025,4025,5675,心 61.5,95,"0,000049%",,,8,怙,hù,hu,fourth,"rely on, presume on; persist in"
,4026,4026,4588,心 61.5,291,"0,000150%",,,8,怵,chù,chu,fourth,"fear, be afraid; shy, timid"
,4027,4027,3636,心 61.5,869,"0,000449%",,,8,怦,pēng,peng,first,"eager, ardent, impulsive; anxious"
,4028,4028,5641,心 61.5,99,"0,000051%",,,8,怛,dá,da,second,"grieved, saddened; worried"
,4029,4029,4369,心 61.5,381,"0,000197%",,,8,怏,yàng,yang,fourth,"discontented, dispirited, sad"
,4030,4030,6390,心 61.5,34,"0,000018%",,,8,怍,zuò,zuo,fourth,to be ashamed
,4031,4031,—,心 61.5,,,,,8,㤘,zhòu,zhou,fourth,"(simplified form of 㥮) obstinate; stubborn; opinionated; obstinacy; stubbornness; intransigent, truculent; savage, ferocious; fierce"
,4032,4032,4766,心 61.5,232,"0,000120%",,,8,怩,ní,ni,second,"shy, timid, bashful; look ashamed"
,4033,4033,5716,心 61.5,89,"0,000046%",,,8,怫,fú,fu,second,"sorry, anxious; depressed"
,4034,4034,6297,心 61.5,40,"0,000021%",,,8,怿,yì,yi,fourth,"enjoy, be glad, be pleased"
,4035,4035,4231,宀 40.5,448,"0,000232%",,,8,宕,dàng,dang,fourth,stone quarry; cave dwelling
,4036,4036,3521,穴 116.3,1004,"0,000519%",,,8,穹,qióng,qiong,second,high and vast; elevated; arched
,4037,4037,4271,宀 40.5,426,"0,000220%",,,8,宓,mì,mi,fourth,"quiet, silent; in good health"
,4038,4038,4937,言 149.6,194,"0,000100%",,,8,诓,kuāng,kuang,first,"cheat, swindle, lie"
,4039,4039,5227,言 149.6,147,"0,000076%",,,8,诔,lěi,lei,third,"eulogize, praise the dead"
,4040,4040,4982,言 149.6,185,"0,000096%",,,8,诖,guà,gua,fourth,"error, mistake; deceive, mislead"
,4041,4041,3405,言 149.6,1138,"0,000588%",,,8,诘,jí,ji,second,"question, interrogate"
,4042,4042,4232,戶 63.4,448,"0,000232%",,,8,戾,lì,li,fourth,"perverse, recalcitrant, rebellious"
